主頻,#genre#

民視,rtmp://9svd1.mine.nu/sat/tv051
民視,rtmp://9svd2.mine.nu/sat/tv051
民視,rtmp://9svd3.mine.nu/sat/tv051
民視,rtmp://9svd4.mine.nu/sat/tv051
民視,http://seb.sason.top/ptv/ftv.php?id=ms
萬秀豬王,http://tv.tvvboxes.uk/tvbox/raw.php?id=02.m3u8
TaiwanPlus,http://tv.tvvboxes.uk/tvbox/raw.php?id=03.m3u8
新唐人亞太,http://tv.tvvboxes.uk/tvbox/raw.php?id=a1.m3u8
CNN國際,http://198.16.100.90:8278/cnn_twn/playlist.m3u8?tid=ME9E1590756115907561&ct=19225&tsum=adf5db9504938a69e07bad07c9d6f7d6
CNN國際,http://ip2121.com:8081/live/cnn/playlist.m3u8
中視新聞ᴴᴰ,http://tv.tvvboxes.uk/tvbox/raw.php?id=01.m3u8
中視新聞ᴴᴰ,http://198.16.100.90:8278/zhongshinews_twn/playlist.m3u8?tid=MD0D3377711133777111&ct=19249&tsum=ffaee3fe7040c96643b3c7f12bf2de8d
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
人間衛視,http://218.32.47.179:8506/http/192.168.1.9:8081/hls/69/811/ch36.m3u8http://120.84.96.195:808/hls/32/index.m3u8
人間衛視,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
台視,rtmp://219.80.97.77/sat/tv071
台視,http://tv.tvvboxes.uk/tvbox/raw.php?id=08.m3u8
台視新聞ᴴᴰ,http://tv.tvvboxes.uk/tvbox/raw.php?id=09.m3u8
中視,http://220.134.196.147:8510/http/116.50.42.19:8081/hls/72/814/ch47.m3u8
中視,http://162.19.247.76:22222/live/zhongshi/index.m3u8
中視,rtmp://9svd1.mine.nu/sat/tv091
中視,rtmp://9svd2.mine.nu/sat/tv091
中視,rtmp://9svd3.mine.nu/sat/tv091
中視,rtmp://9svd4.mine.nu/sat/tv091
國興衛視,http://220.134.196.147:9575/http/116.50.42.19:8081/hls/64/806/ch15.m3u8
華視,rtmp://9svd1.mine.nu/sat/tv111
華視,rtmp://9svd2.mine.nu/sat/tv111
華視,rtmp://9svd3.mine.nu/sat/tv111
華視,rtmp://9svd4.mine.nu/sat/tv111
公視,http://218.32.47.179:18505/.m3u8
好消息2,http://live.streamingfast.net/osmflivech2.m3u8
龍華戲劇,http://198.16.100.90:8278/lunghuaxiju_twn/playlist.m3u8?tid=MF2F2793524427935244&ct=19249&tsum=db1ef83fbbb,ae9a364979295fd690f7d 
龍華戲劇,http://198.16.100.90:8278/lunghuaxiju_twn/playlist.m3u8?tid=MBAB4709384347093843&ct=19226&tsum=a2a7258f856,5588e10b8da2f26ba8039 
龍華戲劇,http://198.16.100.90:8278/lunghuaxiju_twn/playlist.m3u8?tid=m5c1b0bf1531015581628&ct=17874&tsum=2d2c4d6761fa92d63b97c0fe787007cb
龍華偶像,http://198.16.100.90:8278/lunghuaidol_twn/playlist.m3u8?tid=ME6E1618913016189130&ct=19226&tsum=392d7662a2ff7080289fbe9646e8501d
龍華偶像,http://198.16.100.90:8278/lunghuaidol_twn/playlist.m3u8?tid=MD6D6087277960872779&ct=19249&tsum=83e30fd8200429793355d2,1bf37719ff
愛爾達影劇,http://198.16.100.90:8278/eltayingju_twn/playlist.m3u8?tid=MFFF8590726285907262&ct=19249&tsum=ae4cb19fed11696df934d6e2489e2978
國家地理頻道,http://60.251.59.180:8526/http/116.50.42.18:8081/hls/61/803/ch01.m3u8
國家地理頻道,http://218.32.47.179:18509/.m3u8
國家地理頻道,http://218.32.47.179:18509/http/192.168.1.9:8081/hls/61/803/ch01.m3u8
探索頻道,http://198.16.100.90:8278/ba86fcd935/playlist.m3u8?tid=m1b458a366fcb&ct=18335&tsum=6ee1498a5e37d8bd1e3f62954629ed4f
探索頻道,http://198.16.100.90:8278/discoverych_twn/playlist.m3u8?tid=MA3A2844188928441889&ct=18393&tsum=5b966ba17918ab0d7dd4c462d1b0b811
探索頻道,http://198.16.100.90:8278/discoveryhd_twn/playlist.m3u8?tid=MB0B1462900214629002&ct=18393&tsum=ce9990e01102bf91728bdbbb549b04a7
探索頻道,http://198.16.100.90:8278/discoveryhd_twn/playlist.m3u8?tid=ME6E2405719624057196&ct=19225&tsum=57a7c421c65e00c1b8f68f67c30141dc
TLC旅遊生活,http://198.16.100.90:8278/tlc_twn/playlist.m3u8?tid=MA0A5904082259040822&ct=19226&tsum=8fa7deead1d4b260825af15bc7378132
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
動物星球,http://60.251.59.180:8512/http/116.50.42.18:8088/hls/70/812/ch37.m3u8?token=7375646f37d6b4749c6736c4160c9b3011e5cfda
靖天卡通台,http://50.7.238.114:8278/jingtiancartoon_twn/playlist.m3u8?tid=m1465dab025b5&ct=18335&tsum=ba935e583d90bfbe1d1d9662e9ac600c
靖天卡通台,http://50.7.238.114:8278/jingtiancartoon_twn/playlist.m3u8?tid=MD1D2636832926368329&ct=19226&tsum=22c17cfa6920f0b4a9d45746ac25c547
CN 卡通頻道,http://50.7.238.114:8278/momo1_twn/playlist.m3u8?ct=19225&tid=MA0A4898983648989836&tsum=bd109117d126916f203880b1f2063d5e
CN 卡通頻道,http://50.7.238.114:8278/momo1_twn/playlist.m3u8?tid=md272f875bb6916787346&ct=17874&tsum=0c38bae20c6db7e76ad1418654c8ccd4
CN 卡通頻道,http://m.xoxtvs.com/ott/?q=d05ad271c01c35df4bf45def39cbf681&id=2124
MoMo親子台(yt),http://tv.tvvboxes.uk/tvbox/raw.php?id=24.m3u8
東森幼幼台,http://tv.tvvboxes.uk/tvbox/raw.php?id=25.m3u8
東森幼幼台,http://211.23.114.106:8515/http/61.221.81.94:8088/hls/63/805/ch09.m3u8
緯來綜合,http://60.251.33.252:18540/http/192.168.1.9:8088/hls/68/810/ch32.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大第一,http://60.251.33.252:18539/http/192.168.1.9:8088/hls/66/808/ch22.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
八大综合,http://198.16.100.90:8278/badazhonghe/playlist.m3u8?tid=MC5C5422299054222990&ct=19193&tsum=8189d5b21bdeabdffa3d2b2cbeaae0ae
八大综合,http://198.16.100.90:8278/badazhonghe/playlist.m3u8?tid=mfb8d64b6276514171054&ct=17874&tsum=a87466c997089ea7dce98cd17301667d
八大综合,http://198.16.100.90:8278/badazhonghe/playlist.m3u8?tid=MCFC9951205299512052&ct=19249&tsum=dc4ca0de5e57c9f4caee0bb4e80c098a
八大综合,http://198.16.100.90:8278/badazhonghe/playlist.m3u8?tid=MC7C4692263546922635&ct=19225&tsum=ffdc7a6397b511103e0df0b92e678790
三立台灣,http://211.23.114.106:8519/http/60.251.39.91:8081/hls/65/807/ch20.m3u8
三立台灣,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*~hmac=cfd432e7da8eece68fe4a4da3a3bc08ab1bbc50b147a84c95ae3d4a569e932b1
